locationKey,feature,value,unit,source,notes
DHARALI,catchment_area,17,km2,Kumar et al. 2026,"Kheer Gad catchment"
DHARALI,basin_length,10.5,km,Kumar et al. 2026,""
DHARALI,total_stream_length,46,km,Kumar et al. 2026,""
DHARALI,channel_gradient,260,m_per_km,Kumar et al. 2026,""
DHARALI,drainage_density,2.68,km_per_km2,Kumar et al. 2026,""
DHARALI,elongation_ratio,1.5,ratio,Kumar et al. 2026,""
DHARALI,relief_ratio,0.33,ratio,Kumar et al. 2026,""
DHARALI,melton_ruggedness_number,0.8,ratio,Kumar et al. 2026,"Above the 0.6 debris-flow-prone threshold discussed in the paper"
DHARALI,glaciated_area,3,km2,Kumar et al. 2026,"Approximately 18% of catchment"
DHARALI,debris_flow_pressure,60,kPa,Kumar et al. 2026,"Approximate reconstructed flow pressure"
DHARALI,debris_flow_velocity_min,5,m_per_s,Kumar et al. 2026,"Reported simulation range lower bound"
DHARALI,debris_flow_velocity_max,10,m_per_s,Kumar et al. 2026,"Reported simulation range upper bound"
DHARALI,debris_flow_height_min,5,m,Kumar et al. 2026,"Reported simulation range lower bound"
DHARALI,debris_flow_height_max,10,m,Kumar et al. 2026,"Reported simulation range upper bound"
DHARALI,debris_flow_spread_area,18,hectare,Kumar et al. 2026,"Approximate deposition/spread area"
DHARALI,debris_volume_min,995580,m3,Kumar et al. 2026,"Reported lower estimate; uncertainty ±200000 m3"
DHARALI,debris_volume_max,1285260,m3,Kumar et al. 2026,"Reported upper estimate; uncertainty ±126000 m3"
DHARALI,built_up_units_2011,89,count,Kumar et al. 2026,"Figure 11"
DHARALI,built_up_units_2025,160,count,Kumar et al. 2026,"Figure 11"
